Ap0,Ap101,Ap107,Ap109,Ap11,Ap110,Ap118,Ap119,Ap12,Ap121,Ap124,Ap126,Ap13,Ap132,Ap136,Ap14,Ap141,Ap145,Ap147,Ap149,Ap15,Ap150,Ap151,Ap155,Ap16,Ap166,Ap169,Ap174,Ap175,Ap176,Ap177,Ap179,Ap18,Ap184,Ap185,Ap189,Ap19,Ap196,Ap20,Ap208,Ap21,Ap22,Ap221,Ap23,Ap24,Ap27,Ap29,Ap35,Ap43,Ap46,Ap48,Ap5,Ap52,Ap53,Ap54,Ap58,Ap6,Ap61,Ap66,Ap68,Ap79,Ap8,Ap81,Ap82,Ap86,Ap87,Ap89,zona
0.4848484848484848,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.4249999999999998,0.0,0.0,0.0,0.393939393939394,0.0,0.0,0.3714285714285714,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358974358974357,0.6666666666666665,0.0,0.5789473684210522,0.4482758620689653,0.0,0.4047619047619049,0.0,0.3714285714285714,0.4814814814814814,0.2058823529411761,0.6896551724137929,0.3055555555555558,0.3703703703703702,0.40625,0.0,0.2121212121212121,0.0,0.0,0.0,0.0,0.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676470588235292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956519,0.0,0.0,0.0,0.3714285714285714,0.0,0.0,0.0,0.4358974358974357,0.7058823529411764,0.0,0.0,0.3448275862068963,0.0,0.5714285714285716,0.0,0.0,0.2962962962962958,0.3235294117647056,0.6551724137931034,0.0,0.0,0.0,0.0,0.2121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526315789473681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4545454545454546,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.3428571428571429,0.0,0.0,0.0,0.0,0.5147058823529411,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571428571429,0.0,0.3999999999999999,0.0,0.5128205128205128,0.5294117647058822,0.0,0.6842105263157894,0.7586206896551722,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.7758620689655171,0.4444444444444446,0.333333333333333,0.0,0.0,0.3787878787878787,0.2051282051282048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5499999999999998,0.0,0.0,0.0,0.6969696969696968,0.0,0.0,0.3714285714285714,0.0,0.0,0.0,0.0,0.3676470588235292,0.0,0.0,0.0,0.2444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3714285714285714,0.0,0.3,0.0,0.4358974358974357,0.803921568627451,0.0,0.0,0.7586206896551722,0.5172413793103448,0.0,0.4736842105263155,0.0,0.0,0.0,0.6896551724137929,0.0,0.0,0.0,0.0,0.2878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4848484848484848,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6969696969696968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5735294117647057,0.0,0.0,0.0,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3599999999999999,0.0,0.5384615384615383,0.7450980392156863,0.0,0.0,0.896551724137931,0.0,0.6190476190476191,0.0,0.6857142857142859,0.0,0.0,0.7586206896551724,0.4166666666666665,0.2962962962962958,0.40625,0.0,0.3181818181818181,0.358974358974359,0.0,0.0,0.0,0.6470588235294112,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3888888888888888,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.6363636363636362,0.0,0.0,0.3428571428571429,0.0,0.0,0.0,0.0,0.5147058823529411,0.0,0.0,0.0,0.288888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714286,0.0,0.0,0.0,0.4358974358974357,0.8431372549019607,0.0,0.0,0.6896551724137927,0.0,0.5952380952380953,0.0,0.0,0.0,0.0,0.7241379310344827,0.2777777777777777,0.0,0.0,0.0,0.2878787878787878,0.0,0.0,0.0,0.0,0.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0
0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.5757575757575757,0.0,0.0,0.3142857142857145,0.0,0.0,0.0,0.0,0.5588235294117646,0.0,0.0,0.0,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803921568627451,0.0,0.8421052631578947,0.6206896551724137,0.6206896551724137,0.523809523809524,0.0,0.5428571428571431,0.0,0.2647058823529411,0.7413793103448275,0.3055555555555558,0.0,0.0,0.0,0.1363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.606060606060606,0.0,0.0,0.0,0.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5735294117647057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571428571429,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.7241379310344827,0.7241379310344827,0.5,0.0,0.0,0.0,0.0,0.793103448275862,0.0,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
