Ap1,Ap3,Ap4,Ap5,Ap6,Ap8,Ap11,Ap12,Ap13,Ap14,Ap16,Ap19,Ap22,Ap23,Ap24,Ap27,Ap29,Ap34,Ap35,Ap38,Ap39,Ap41,Ap43,Ap45,Ap48,Ap49,Ap50,Ap56,Ap60,Ap66,Ap70,Ap74,Ap76,Ap78,Ap79,Ap85,Ap87,Ap93,Ap102,Ap104,Ap110,Ap112,Ap114,Ap117,Ap120,Ap122,Ap129,Ap131,Ap132,zona
0.8125,0.75,0.825,0.44680851063829796,0.6111111111111112,0.4761904761904763,0.8545454545454545,0.8799999999999999,0.4444444444444442,0.4893617021276595,0.3076923076923075,0.5249999999999999,0.8148148148148144,0.8749999999999996,0.5249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.8392857142857142,0.8499999999999999,0.42553191489361697,0.0,0.4761904761904763,0.8181818181818181,0.9199999999999999,0.0,0.6595744680851063,0.3846153846153846,0.5,0.8148148148148144,0.9166666666666661,0.4750000000000001,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.8392857142857142,0.8499999999999999,0.4042553191489362,0.0,0.4761904761904763,0.8727272727272727,0.9199999999999999,0.0,0.5957446808510638,0.3846153846153846,0.4750000000000001,0.8888888888888884,0.833333333333333,0.4750000000000001,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.8214285714285714,0.8499999999999999,0.38297872340425543,0.0,0.4761904761904763,0.8363636363636363,0.9199999999999999,0.0,0.5106382978723405,0.3846153846153846,0.44999999999999973,0.9629629629629628,0.7499999999999996,0.44999999999999973,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.8214285714285714,0.8499999999999999,0.38297872340425543,0.0,0.4761904761904763,0.8363636363636363,0.9199999999999999,0.0,0.5106382978723405,0.3846153846153846,0.44999999999999973,0.9629629629629628,0.7499999999999996,0.44999999999999973,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.8214285714285714,0.8499999999999999,0.38297872340425543,0.0,0.4761904761904763,0.8363636363636363,0.9199999999999999,0.0,0.5106382978723405,0.3846153846153846,0.44999999999999973,0.9629629629629628,0.7499999999999996,0.44999999999999973,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9375,0.75,0.625,0.4893617021276595,0.6666666666666665,0.5476190476190477,0.8909090909090909,0.7999999999999998,0.0,0.574468085106383,0.0,0.7749999999999999,0.0,0.833333333333333,0.7749999999999999,0.0,0.0,0.6944444444444446,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.75,0.6499999999999999,0.42553191489361697,0.6666666666666665,0.5476190476190477,0.8727272727272727,0.8399999999999999,0.0,0.574468085106383,0.4871794871794872,0.5499999999999998,0.6296296296296293,0.9166666666666661,0.5499999999999998,0.0,0.0,0.7222222222222223,0.375,0.6551724137931032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.7678571428571428,0.6749999999999998,0.42553191489361697,0.75,0.5476190476190477,0.8363636363636363,0.9199999999999999,0.0,0.553191489361702,0.4871794871794872,0.5499999999999998,0.7777777777777777,0.9999999999999996,0.575,0.0,0.0,0.8055555555555556,0.375,0.6551724137931032,0.4117647058823528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.8392857142857142,0.7,0.4893617021276595,0.75,0.5476190476190477,0.8545454545454545,0.7599999999999998,0.0,0.553191489361702,0.46153846153846123,0.6499999999999999,0.9999999999999996,0.7916666666666661,0.6499999999999999,0.0,0.0,0.7777777777777777,0.375,0.6551724137931032,0.4117647058823528,0.24324324324324298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.8392857142857142,0.7,0.4893617021276595,0.75,0.5476190476190477,0.8545454545454545,0.7599999999999998,0.0,0.553191489361702,0.46153846153846123,0.6499999999999999,0.9999999999999996,0.7916666666666661,0.6499999999999999,0.0,0.0,0.7777777777777777,0.375,0.6551724137931032,0.4117647058823528,0.24324324324324298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.8392857142857142,0.7,0.4893617021276595,0.75,0.5476190476190477,0.8545454545454545,0.7599999999999998,0.0,0.553191489361702,0.46153846153846123,0.6499999999999999,0.9999999999999996,0.7916666666666661,0.6499999999999999,0.0,0.0,0.7777777777777777,0.375,0.6551724137931032,0.4117647058823528,0.24324324324324298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9375,0.5892857142857142,0.625,0.44680851063829796,0.75,0.5476190476190477,0.9090909090909091,0.7599999999999998,0.0,0.553191489361702,0.46153846153846123,0.6499999999999999,0.8148148148148144,0.7916666666666661,0.6499999999999999,0.0,0.0,0.7777777777777777,0.375,0.6551724137931032,0.4117647058823528,0.24324324324324298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
