mac_address	vlan_id	count_rec	vendor_name
98:DA:C4:FA:53:F5	999	4689	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:37:12	999	4496	Tp-link Technologies Co.,ltd.
C4:E9:84:5E:DF:7F	999	4254	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:4E	999	3445	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:35:70	999	3384	Tp-link Technologies Co.,ltd.
98:DA:C4:FA:7E:2B	999	3336	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:AE	999	3327	Tp-link Technologies Co.,ltd.
AC:84:C6:C4:6D:49	999	3255	Tp-link Technologies Co.,ltd.
B0:4E:26:D6:A6:8C	999	3253	Tp-link Technologies Co.,ltd.
C4:6E:1F:1E:EC:D7	999	3045	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D6:B2	999	2005	Tp-link Technologies Co.,ltd.
50:3E:AA:37:CF:4C	999	1326	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:8E	999	1278	Tp-link Technologies Co.,ltd.
10:FE:ED:3F:7C:AF	999	1208	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:A8	999	1103	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:50	999	991	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:98:2A	999	938	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:98:1A	999	865	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:84:40	999	858	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:3D:AE	999	801	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:23:0A	999	758	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:90	999	722	Tp-link Technologies Co.,ltd.
90:F6:52:F5:BB:AE	999	720	Tp-link Technologies Co.,ltd.
90:F6:52:DC:14:B6	999	712	Tp-link Technologies Co.,ltd.
90:F6:52:DC:17:4A	999	692	Tp-link Technologies Co.,ltd.
10:FE:ED:21:8E:DB	999	651	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:7C:C0	999	626	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:99:26	999	620	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:96:32	999	613	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:7C:3E	999	611	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:37:14	999	597	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:86:A2	999	591	Tp-link Technologies Co.,ltd.
F4:F2:6D:10:52:50	999	583	Tp-link Technologies Co.,ltd.
